,n_samples,correlation,slope,intercept,annual_deviation,relative_annual_deviation,max_abs_monthly_deviation,mean_abs_monthly_deviation,max_relative_abs_monthly_deviation,mean_relative_abs_monthly_deviation,method
AT,4.0,-0.9762507333277255,0.9218002286163183,1.6112587993655691,8.847374729403782,0.0036665456814769094,5.341890908079179,1.754323812201714,0.06848578087280999,0.014447898554113396,gas
BE,4.0,-0.8532609673669252,0.9127241529265746,1.7006879235038628,6.079520854905525,0.0034173810314252527,6.545855580276367,2.5732534364020045,0.05500718975022157,0.014761737592738949,gas
CZ,4.0,-0.7104626126976828,0.9495293475301259,1.5704082608199588,2.3878045156940715,0.0009726291306289496,6.094902505883979,3.4208207959034778,0.11950789227223489,0.028115873045146282,gas
DE,4.0,-0.8229908025063614,0.9022039096996881,1.5668855803417874,7.328643457433728,0.0037582786961198604,8.695034950477563,3.574894729197192,0.14991439569788903,0.02943825232866222,gas
DK,6.0,0.0991626221550372,1.0041861989205223,0.7239769270833518,-2.526902531779484,-0.0011639348373005455,4.8961027623919335,2.065190708071039,0.02007966299318385,0.0073044264454709285,gas
EE,5.0,-0.7860872590725039,0.9249568520916943,0.9397576076572091,-7.568004495142674,-0.00342134018767752,9.785661432578593,3.877167361609683,0.026305541485426326,0.013855442350824919,gas
GB,5.0,0.047038778505595,1.0046263482484552,0.7166448046474682,-1.7062170736206923,-0.001105779049656962,6.273205915433692,3.4326305712179317,0.045835999416443625,0.019740425859542,gas
GR,4.0,-0.6118914623145659,0.9772185251966063,0.22754452166123967,-1.430173406877472,-0.0012954469265194493,1.9963121128478747,0.7577997848662577,0.01658155957311111,0.0057198485251579835,gas
HR,5.0,-0.879747120591306,0.9569046016284374,1.114181869675518,-8.112945895352766,-0.003232249360698313,8.24916038834607,1.977126507275029,0.0394696669298855,0.007887554592090151,gas
HU,4.0,-0.9260247168055986,0.9275802123642255,1.6703754766243264,4.7504038296324325,0.0020361782381622083,6.882391104447805,1.882188889311424,0.047794382669776425,0.009717766439031815,gas
IE,4.0,-0.022247058638103986,0.997154495383338,0.38705615679256256,-3.742835412071372,-0.0037998329056562153,3.8808589785689662,2.0774232197600098,0.025531966964269515,0.011468652066766418,gas
IT,5.0,-0.8687919201603503,0.9035248650354645,1.9387298127869619,6.922721987650853,0.005688350030937431,10.813903556567979,4.1196177172976665,0.14613383184551323,0.04606731266658703,gas
LT,6.0,-0.9228766198903492,0.891114372126442,1.6883047039997074,-2.9131228668892675,-0.0010275565668039744,11.9181034632781,3.807679746710899,0.02784603612915444,0.009789370537184003,gas
LV,5.0,-0.9731049099195218,0.9018715419176662,1.7187709258626351,-1.0379103586365659,-0.00043463582857477634,4.515884188507528,2.8057261143392793,0.019782718314963525,0.009229102890918632,gas
NL,5.0,-0.7225174417160755,0.9392400751418853,0.9136090448419716,10.003982194255627,0.006283908413477153,6.4094419337962165,3.1592553007071973,0.07283456742950246,0.020504618621517305,gas
PL,6.0,-0.9201524161055628,0.8691857426697038,1.5159221714515911,11.385035526202813,0.004347092602597485,12.632273458638338,5.3673523659548845,0.16273478122596313,0.035816214212796134,gas
RO,3.0,-0.4284573483316449,0.9643489458593018,1.0540138863658726,-8.578198355295939,-0.004010377912714324,5.074477216621375,2.236535480087028,0.031518492028704194,0.009142251674397323,gas
SI,4.0,-0.6713004294797738,0.9682747236106484,0.797423128805949,13.278759993985148,0.005862587193812427,12.747199318097444,4.3046718313550025,0.0811923523445697,0.01953905091962926,gas
SK,4.0,-0.9641682591684223,0.9235377149259075,1.2306824128554552,-16.108122791656967,-0.007009626976352031,7.7456952290000345,2.7389577372392018,0.029271099463067118,0.011539655702166808,gas
CH,5.0,-0.9200710782047103,0.8650060496154468,0.6305859674901496,0.915429278895374,0.0003254281119428987,4.861619935148269,2.8022141900036996,0.011412253368892651,0.006940534572400324,electricity
FI,7.0,-0.7770745883266298,0.9040504917509986,0.4574581089523106,25.105087323189423,0.007543595950477591,18.397084121873405,9.679695018785159,0.24860924489018116,0.05124855423833448,electricity
NO,7.0,-0.7520198881385614,0.8969522602089679,1.611136197833949,-8.38429199707604,-0.0034905462102731225,13.44783972830379,7.130632046196644,0.06431209288608293,0.03152503166012552,electricity
SE,6.0,-0.5515335268734102,0.9498726823866981,0.4092091667617864,-1.9264472351254653,-0.0007204365127619542,14.097085090149562,5.947561760033226,0.11754203665796871,0.028712463050267603,electricity
PT,3.0,-0.9046524129545032,0.8263989038005133,1.7814464479171561,-2.60902771426467,-0.01031236250697498,9.596862507799457,5.6549560205755025,0.30957620992901475,0.13524723035917058,electricity
BG,5.0,-0.8565010944606057,0.9794834504555114,-0.47579749977206204,-7.506418524824426,-0.003452814408842882,2.4209119015781084,1.4285214358750409,0.01646878844610958,0.006365869291652677,dual
ES,3.0,0.7767253843153277,1.0392406491522042,0.9973604389130107,61.28823310916951,0.091886406460524,21.56721294545686,12.257646621833903,0.27650273006995973,0.11577902588471482,dual
FR,5.0,-0.5799986381560303,0.9636206001324565,0.7307867068748072,17.681581581142474,0.009839500045154409,9.32065257934672,2.835338616840877,0.33288044926238286,0.05075700212610325,dual
