TIME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
EU27_2020,,,,,,,,,2530022,2502653,2441361
EA19,1834149,1464042,1627002,1721351,1299950,2034975,2307370,2253102,2202656,2177290,2102763
BE,,,,,,,118046,115226,115279,113990,106491
BG,1710,1940,1852,1558,1567,1712,1954,2321,2609,2638,3288
CZ,,,,,,47627,54689,55399,51038,49363,51459
DK,,,,,,18245,19134,17890,18615,18641,18177
DE,840519,649373,725013,768905,609351,670194,751760,720707,735319,733741,712959
EE,1684,1585,1697,1604,1602,1513,1775,1696,1687,1772,1724
IE,,,,,,16686,16923,16252,18043,17494,17446
GR,,,,9572,,14369,12846,14491,12094,15516,17224
ES,82564,66164,68054,61927,60002,64340,64670,64446,70853,67037,67373
FR,496488,432409,496002,520624,370440,405838,445008,428745,399610,391422,364378
HR,18381,16764,15509,14679,12795,13563,14693,14735,14374,14476,15493
IT,,,,,,549478,553098,554696,521182,514049,503503
CY,,,,,,,,,,,
LV,2717,2332,2332,2220,2212,2141,2322,2431,2602,2417,2392
LT,,,,,,,,4211,4545,4492,4913
LU,8732,8213,7332,8007,7694,8184,8747,9843,9024,9102,9543
HU,,,,,,89316,97223,103919,98405,96840,105541
MT,,,,,,,,,,,
NL,339898,250148,271538,292692,201556,219234,231267,222431,220617,210871,199155
AT,57727,50092,51253,52222,44451,49342,55202,53936,49286,52792,52482
PL,,,,,,70187,78610,82540,79679,81409,77435
PT,701,605,604,574,605,616,572,588,640,666,688
RO,,,,,,54970,56069,59342,61611,61390,66628
SI,3685,3647,3772,3669,2650,3258,3680,3779,3410,3181,3217
SK,,,,,,35391,35977,38766,37670,37862,38495
FI,,,,,,847,882,860,796,887,779
SE,,,,,,900,952,1150,1035,607,577
NO,166,138,148,155,159,141,151,135,134,65,66
GB,1014532,742963,837987,830586,678920,715915,737337,722580,756542,,
MK,,,,0,2,8,4,6,8,8,7
AL,,,,,,,,,,,
RS,9064,8258,7565,6768,5544,5879,6525,7433,7556,7903,9384
BA,,,,,791,977,1017,1112,1059,1141,1196
XK,,,,,,,,,,,
MD,,,,,,,,5476,6275,6308,7011
UA,,,,,,,234060,194661,212808,164574,
GE,,,,,,,16464,18698,18156,20867,24417
