Unit consumption per m2 for space heating with climatic corrections (koe/m2),,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AT,18.058,17.208,17.125,16.122,15.094,14.728,14.709,14.863,14.681,14.328,13.456,13.895,13.944,14.095,14.344,14.204,14.009,13.657,13.584,13.686
BG,7.707,6.857,7.743,7.221,7.364,6.985,7.239,7.503,7.449,7.602,7.574,6.478,6.861,6.944,6.701,6.974,7.08,6.987,7.136,7.44
HR,17.054,16.546,17.407,16.449,16.665,16.038,16.092,16.159,15.705,15.663,14.781,15.011,14.387,13.976,14.743,14.051,13.413,13.028,13.028,12.934
CY,3.455,4.571,4.254,3.695,3.047,3.111,2.975,2.328,2.599,2.63,1.833,2.099,2.026,2.067,2.289,2.085,2.209,2.174,2.431,2.563
CZ,18.943,18.737,18.937,18.714,18.026,15.99,16.63,16.188,16.05,15.627,15.775,16.36,15.997,15.592,15.441,14.813,14.279,14.202,15.07,14.715
DK,14.404,13.673,14.149,13.857,13.745,13.68,13.972,14.02,13.545,12.666,12.026,12.407,11.348,11.355,12.076,11.957,11.922,11.631,11.639,11.334
EE,18.229,16.818,16.467,15.841,15.868,15.341,15.633,17.067,17.143,15.565,14.794,15.77,14.687,15.283,14.056,14.536,14.286,13.859,14.414,14.645
FI,13.909,13.287,13.228,13.434,13.45,13.469,13.501,13.768,13.832,13.35,13.193,13.067,12.858,12.777,12.562,12.931,12.239,11.812,11.69,11.362
FR,15.158,14.81,14.828,13.802,13.582,13.186,12.885,12.855,12.212,11.898,11.561,11.556,11.269,10.861,10.721,10.78,10.427,10.271,10.507,9.85
DE,16.301,16.529,16.289,15.939,14.143,14.046,14.407,11.895,13.195,12.853,11.625,11.458,11.027,11.555,10.892,10.917,11.104,10.68,10.965,11.174
GR,9.868,10.491,10.957,11.035,9.979,9.674,9.1,10.376,10.008,9.489,10.204,8.675,8.259,6.535,6.982,7.803,7.504,7.074,7.22,7.313
HU,13.123,12.596,14.285,13.838,12.775,13.127,13.966,12.692,12.819,12.756,15.353,16.297,16.272,16.283,15.978,15.582,15.396,15.526,15.226,15.049
IE,14.965,15.189,16.073,15.498,15.017,15.302,14.751,14.337,13.111,12.226,10.73,10.557,9.299,8.911,8.378,8.315,8.5,8.707,8.97,8.725
IT,9.204,9.593,9.657,9.78,9.461,9.686,9.967,10.387,10.548,10.373,10.174,9.873,10.13,10.238,9.969,10.224,10.335,9.878,10.001,9.439
LV,26.826,23.563,23.437,22.76,21.601,21.046,20.081,20.669,21.421,20.513,17.339,18.53,17.529,16.519,15.93,14.485,14.048,14.782,15.463,15.507
LT,14.113,13.495,14.069,13.474,13.604,13.881,14.747,14.411,15.221,12.986,11.956,12.815,11.946,11.964,11.281,11.438,11.09,10.839,11.289,11.3
LU,,,,,,,,,18.508,18.666,15.686,17.892,15.445,14.41,16.236,15.94,15.405,15.671,16.119,13.651
NL,12.631,12.531,12.459,11.962,11.243,10.754,11.02,9.915,10.251,9.88,9.853,8.952,8.956,8.999,8.152,7.89,7.935,7.984,8.063,7.495
PL,18.957,18.286,18.024,16.249,16.675,17.133,18.606,17.85,18.051,16.751,15.892,16.635,16.006,15.652,15.83,14.724,14.658,14.392,14.436,13.46
PT,,,,2.217,1.97,1.963,2.182,2.184,2.098,2.224,1.378,1.479,1.213,1.215,1.408,1.513,1.414,1.605,1.412,1.704
RO,21.979,16.68,16.092,15.077,16.182,13.711,13.342,13.993,15.315,14.5,13.669,13.272,12.788,12.884,12.771,12.371,11.92,12.331,13.357,14.522
SK,13.993,14.892,14.965,13.118,12.401,11.35,10.663,10.087,10.617,10.237,10.242,9.833,8.932,9.361,9.759,8.87,8.758,8.951,9.557,
SI,20.009,18.976,18.283,17.548,17.22,17.267,16.586,17.215,17.091,16.095,14.914,15.156,14.428,13.923,13.421,13.278,13.208,12.238,11.927,11.413
ES,5.469,5.284,5.029,4.857,5.072,5.456,5.723,5.304,5,5.299,4.415,4.687,3.892,3.722,4.395,4.436,4.126,4.165,3.793,3.921
SE,13.634,12.276,11.981,11.443,12.26,11.739,11.486,10.99,11.039,10.572,9.251,10.332,9.35,9.543,10.785,9.65,8.969,9.051,8.751,8.607
CH,14.244,14.41,13.91,14.089,13.546,13.133,13.43,12.362,12.396,12.359,12.311,11.434,11.336,11.658,10.606,10.453,10.783,10.275,10.103,9.838
GB,,,14.519,14.085,14.022,13.025,12.111,11.716,11.705,11.017,11.444,10.11,10.135,9.42,9.123,9.097,9.104,9.301,9.306,9.229
EU,12.93,12.664,12.467,12.15,11.834,11.892,11.912,11.063,11.518,11.046,10.411,10.289,9.997,10.43,9.653,9.916,9.752,9.556,9.454,9.386
EU28,13.455,13.197,13.067,12.739,12.445,12.354,12.308,11.472,11.955,11.358,10.907,10.623,10.377,10.697,9.935,10.066,9.951,9.744,9.707,
